experiment,family,contrast,method,initialization,interior_points,reference_grid_size,runs,feasible_runs,feasibility_rate,solver_success_rate,median_evaluated_cost_s,median_clearance_m,median_stationarity_norm,median_actual_interior_points,mean_reference_difference_percent,median_reference_difference_percent,bootstrap_95_low_percent,bootstrap_95_high_percent,median_runtime_s,reference_unresolved_runs,failure_modes,termination_modes
baseline,ridge_pass,,slsqp,barrier,128,,20,1,0.05,0.0,719.4473909028218,69.97389557803828,0.2445063196411507,128.0,-0.06440214106743714,-0.06440214106743714,,,60.01255847452558,0,nonstationary:1; timeout:19,nonstationary:1; timeout:19
baseline,ridge_pass,,slsqp,barrier,32,,20,20,1.0,0.0,731.0939707209461,65.23283699024961,0.03780964515808531,32.0,-0.05674958007125611,-0.0571836677637036,-0.05843271216822069,-0.05492075923385699,4.440940910979407,0,nonstationary:20,nonstationary:20
baseline,ridge_pass,,slsqp,barrier,64,,20,20,1.0,0.0,731.0875099081376,65.26235577574707,0.04188849783310842,64.0,-0.05848452209088486,-0.058997705271582976,-0.06006540176312154,-0.0566870341261068,24.331713875522837,0,nonstationary:20,nonstationary:20
baseline,ridge_pass,,slsqp,fast_marching,128,,20,0,0.0,0.0,,,,128.0,,,,,60.01567098603118,0,timeout:20,timeout:20
baseline,ridge_pass,,slsqp,fast_marching,32,,20,20,1.0,0.0,731.0981063358083,65.23185359793936,0.02339827401632011,32.0,-0.05664129343908288,-0.05718366303707684,-0.05836673005315738,-0.054799558646169595,8.213874761480838,0,nonstationary:20,nonstationary:20
baseline,ridge_pass,,slsqp,fast_marching,64,,20,20,1.0,0.0,731.0875098445348,65.26159197422842,0.04079425569281815,64.0,-0.05848464639845323,-0.05899770365034859,-0.0600655272266601,-0.05668703091096677,26.44119245899492,0,nonstationary:20,nonstationary:20
baseline,ridge_pass,,slsqp,straight,128,,20,1,0.05,0.0,719.4473909028218,69.97389557803058,1.0000020503496478,128.0,-0.06440214106743714,-0.06440214106743714,,,60.01253109402023,0,nonstationary:1; optimization_failed:6; timeout:13,nonstationary:1; optimization_failed:6; timeout:13
baseline,ridge_pass,,slsqp,straight,32,,20,18,0.9,0.0,728.1287188649828,67.69896294558791,0.12203153807569712,32.0,2.1540562858488306,-0.0558342147171801,-0.038376585960932484,6.271913244203359,6.386281890008831,0,nonstationary:14; optimization_failed:6,nonstationary:14; optimization_failed:6
baseline,ridge_pass,,slsqp,straight,64,,20,12,0.6,0.0,725.9215414315445,73.48336050969803,0.09830877906955968,64.0,-0.05759499755610469,-0.057575939037802074,-0.05950410649956977,-0.05537928690525675,24.889269349485403,0,nonstationary:12; optimization_failed:4; timeout:4,nonstationary:12; optimization_failed:4; timeout:4
contrast_sweep,competing_corridors,0.0,euler_lagrange,arc_left,64,,1,0,0.0,1.0,,,1.7697741698074985e-10,64.0,,,,,0.7948233620263636,1,stationary:1,stationary:1
contrast_sweep,competing_corridors,0.0,euler_lagrange,arc_right,64,,1,0,0.0,1.0,,,1.7825882673302995e-10,64.0,,,,,0.7966747459722683,1,stationary:1,stationary:1
contrast_sweep,competing_corridors,0.0,euler_lagrange,barrier,64,,1,0,0.0,1.0,,,1.6223112771375309e-10,64.0,,,,,0.9301208319957368,1,stationary:1,stationary:1
contrast_sweep,competing_corridors,0.0,euler_lagrange,fast_marching,64,,1,0,0.0,1.0,,,1.7664832201061426e-10,64.0,,,,,7.345849156030454,1,stationary:1,stationary:1
contrast_sweep,competing_corridors,0.0,euler_lagrange,straight,64,,1,0,0.0,1.0,,,3.36079329365866e-10,64.0,,,,,0.8272142900386825,1,stationary:1,stationary:1
contrast_sweep,competing_corridors,0.0,fast_marching,fast_marching,,513,1,1,1.0,1.0,719.4720234446595,2.26562515903413,,,,,,,7.00725910597248,1,,converged:1
contrast_sweep,competing_corridors,0.0,slsqp,arc_left,64,,1,1,1.0,1.0,720.1983451657027,6.773440508626778,0.0002693517100433542,64.0,,,,,28.8370156409801,1,,converged:1
contrast_sweep,competing_corridors,0.0,slsqp,arc_right,64,,1,1,1.0,1.0,731.7387882270116,6.129212333440969,0.00013864090013957102,64.0,,,,,27.754127888008952,1,,converged:1
contrast_sweep,competing_corridors,0.0,slsqp,barrier,64,,1,1,1.0,1.0,720.1983471765105,6.773420583636457,2.882064729687834e-05,64.0,,,,,25.387447757995687,1,,converged:1
contrast_sweep,competing_corridors,0.0,slsqp,fast_marching,64,,1,0,0.0,0.0,,,,64.0,,,,,60.018124472000636,1,timeout:1,timeout:1
contrast_sweep,competing_corridors,0.0,slsqp,straight,64,,1,0,0.0,0.0,,,,64.0,,,,,60.00814829597948,1,timeout:1,timeout:1
contrast_sweep,competing_corridors,1.0,euler_lagrange,arc_left,64,,1,1,1.0,1.0,1209.3522289331481,103.90133558741152,3.5181603040439516e-08,64.0,,,,,0.9462895839824341,1,,stationary:1
contrast_sweep,competing_corridors,1.0,euler_lagrange,arc_right,64,,1,1,1.0,1.0,1284.0357102958596,74.41621351388464,1.1018484138609991e-09,64.0,,,,,0.8800798309966922,1,,stationary:1
contrast_sweep,competing_corridors,1.0,euler_lagrange,barrier,64,,1,0,0.0,0.0,,,989.0413815092107,64.0,,,,,1.0809087590314448,1,stagnated:1,stagnated:1
contrast_sweep,competing_corridors,1.0,euler_lagrange,fast_marching,64,,1,1,1.0,1.0,1209.3522289331493,103.9013355874117,2.796242243977787e-10,64.0,,,,,4.941542729968205,1,,stationary:1
contrast_sweep,competing_corridors,1.0,euler_lagrange,straight,64,,1,0,0.0,0.0,,,392.3147919807707,64.0,,,,,4.443874677992426,1,iteration_limit:1,iteration_limit:1
contrast_sweep,competing_corridors,1.0,fast_marching,fast_marching,,513,1,1,1.0,1.0,1211.3227593997722,103.22590032348121,,,,,,,5.428561412030831,1,,converged:1
contrast_sweep,competing_corridors,1.0,slsqp,arc_left,64,,1,1,1.0,0.0,1209.3420850985885,103.92685366829491,0.06429447962784884,64.0,,,,,29.031187599990517,1,nonstationary:1,nonstationary:1
contrast_sweep,competing_corridors,1.0,slsqp,arc_right,64,,1,1,1.0,0.0,1284.0404477785498,74.43245588425933,0.1603280903235029,64.0,,,,,27.312118610017933,1,nonstationary:1,nonstationary:1
contrast_sweep,competing_corridors,1.0,slsqp,barrier,64,,1,1,1.0,0.0,1209.342085207882,103.92683229460516,0.12173238937420316,64.0,,,,,29.067291320010554,1,nonstationary:1,nonstationary:1
contrast_sweep,competing_corridors,1.0,slsqp,fast_marching,64,,1,1,1.0,0.0,1209.3420852158545,103.9264075563856,0.06905767280403818,64.0,,,,,25.99426482000854,1,nonstationary:1,nonstationary:1
contrast_sweep,competing_corridors,1.0,slsqp,straight,64,,1,0,0.0,0.0,,,,64.0,,,,,60.00997816800373,1,timeout:1,timeout:1
contrast_sweep,competing_corridors,2.0,euler_lagrange,arc_left,64,,1,1,1.0,0.0,2889.1996992992704,101.37591995742768,4396.577135119413,64.0,,,,,1.1024836520082317,1,stagnated:1,stagnated:1
contrast_sweep,competing_corridors,2.0,euler_lagrange,arc_right,64,,1,1,1.0,1.0,2113.5580691796845,82.50127994135148,1.983674260287593e-10,64.0,,,,,0.971630931016989,1,,stationary:1
contrast_sweep,competing_corridors,2.0,euler_lagrange,barrier,64,,1,1,1.0,0.0,4398.269390666542,24.32340713828614,6160.5783619242475,64.0,,,,,1.9918134250328876,1,stagnated:1,stagnated:1
contrast_sweep,competing_corridors,2.0,euler_lagrange,fast_marching,64,,1,1,1.0,1.0,1944.4648168139759,104.53047618787001,2.8189145971289557e-10,64.0,,,,,5.297281162987929,1,,stationary:1
contrast_sweep,competing_corridors,2.0,euler_lagrange,straight,64,,1,0,0.0,1.0,,,3.573720829652641e-10,64.0,,,,,1.0864566199597903,1,stationary:1,stationary:1
contrast_sweep,competing_corridors,2.0,fast_marching,fast_marching,,513,1,1,1.0,1.0,1952.543278068322,103.58305395727619,,,,,,,5.581197971012443,1,,converged:1
contrast_sweep,competing_corridors,2.0,slsqp,arc_left,64,,1,1,1.0,0.0,1944.0752139650251,104.44353748942812,0.10921266229638851,64.0,,,,,39.434913004981354,1,nonstationary:1,nonstationary:1
contrast_sweep,competing_corridors,2.0,slsqp,arc_right,64,,1,1,1.0,0.0,2113.5163900702264,82.53440700354001,0.21688506016066234,64.0,,,,,29.095847169985063,1,nonstationary:1,nonstationary:1
contrast_sweep,competing_corridors,2.0,slsqp,barrier,64,,1,1,1.0,0.0,1944.0752137952109,104.44319137877555,0.11905875401515392,64.0,,,,,37.41985925496556,1,nonstationary:1,nonstationary:1
contrast_sweep,competing_corridors,2.0,slsqp,fast_marching,64,,1,1,1.0,0.0,1944.075213440724,104.44326066890137,0.07343785037033054,64.0,,,,,27.05490871000802,1,nonstationary:1,nonstationary:1
contrast_sweep,competing_corridors,2.0,slsqp,straight,64,,1,0,0.0,0.0,,,,64.0,,,,,60.011421644012444,1,timeout:1,timeout:1
contrast_sweep,competing_corridors,4.0,euler_lagrange,arc_left,64,,1,1,1.0,0.0,19886.93091745633,48.33459793267448,7472.804824736782,64.0,,,,,1.1599010030040517,1,stagnated:1,stagnated:1
contrast_sweep,competing_corridors,4.0,euler_lagrange,arc_right,64,,1,1,1.0,1.0,7231.339123010626,84.17526975748343,2.2388590177403193e-10,64.0,,,,,2.5050179999670945,1,,stationary:1
contrast_sweep,competing_corridors,4.0,euler_lagrange,barrier,64,,1,1,1.0,0.0,31273.055590118933,12.271968215092215,12687.91622326181,64.0,,,,,1.048558595997747,1,stagnated:1,stagnated:1
contrast_sweep,competing_corridors,4.0,euler_lagrange,fast_marching,64,,1,1,1.0,1.0,7231.339123010626,84.17526975748343,2.2909301164449898e-10,64.0,,,,,5.670761711022351,1,,stationary:1
contrast_sweep,competing_corridors,4.0,euler_lagrange,straight,64,,1,0,0.0,0.0,,,3657.8609660318566,64.0,,,,,1.2920952279819176,1,stagnated:1,stagnated:1
contrast_sweep,competing_corridors,4.0,fast_marching,fast_marching,,513,1,1,1.0,1.0,7267.2464278733205,83.15891305855261,,,,,,,5.701681383012328,1,,converged:1
contrast_sweep,competing_corridors,4.0,slsqp,arc_left,64,,1,1,1.0,0.0,8442.46920811005,103.89782879321758,0.036686615574864946,64.0,,,,,56.91883559001144,1,nonstationary:1,nonstationary:1
contrast_sweep,competing_corridors,4.0,slsqp,arc_right,64,,1,1,1.0,0.0,7227.0539595159025,83.92642365595611,0.0932223866347698,64.0,,,,,40.83120906498516,1,nonstationary:1,nonstationary:1
contrast_sweep,competing_corridors,4.0,slsqp,barrier,64,,1,1,1.0,0.0,8442.46920889492,103.89831733541529,0.01752637083881258,64.0,,,,,55.841321290005,1,nonstationary:1,nonstationary:1
contrast_sweep,competing_corridors,4.0,slsqp,fast_marching,64,,1,1,1.0,0.0,7227.05395907788,83.92693904082121,0.05767755903817166,64.0,,,,,28.87859113595914,1,nonstationary:1,nonstationary:1
contrast_sweep,competing_corridors,4.0,slsqp,straight,64,,1,0,0.0,0.0,,,,64.0,,,,,60.01228809397435,1,timeout:1,timeout:1
contrast_sweep,correlated_roughness,0.0,euler_lagrange,arc_left,64,,1,1,1.0,1.0,703.9999999999999,80.56733592977639,1.7697741698074985e-10,64.0,,,,,0.8035165739711374,1,,stationary:1
contrast_sweep,correlated_roughness,0.0,euler_lagrange,arc_right,64,,1,1,1.0,1.0,703.9999999999999,80.56733592977729,1.7825882673302995e-10,64.0,,,,,0.822749286016915,1,,stationary:1
contrast_sweep,correlated_roughness,0.0,euler_lagrange,barrier,64,,1,1,1.0,1.0,703.9999999999999,80.56733592977685,1.2993844859711602e-10,64.0,,,,,0.8133524389704689,1,,stationary:1
contrast_sweep,correlated_roughness,0.0,euler_lagrange,fast_marching,64,,1,1,1.0,1.0,703.9999999999999,80.56733592977685,1.1155431221307115e-10,64.0,,,,,4.9870211409870535,1,,stationary:1
contrast_sweep,correlated_roughness,0.0,euler_lagrange,straight,64,,1,1,1.0,1.0,704.0000000000001,80.56733592977685,3.36079329365866e-10,64.0,,,,,0.793189145042561,1,,stationary:1
