case_id,initialization,interior_points,seed_hash_match,euler_feasible,slsqp_feasible,slsqp_minus_euler_percent
correlated_roughness-s01,barrier,128,False,True,False,
correlated_roughness-s01,fast_marching,32,False,False,False,
correlated_roughness-s01,fast_marching,64,False,False,False,
correlated_roughness-s01,fast_marching,128,False,False,False,
correlated_roughness-s01,straight,32,True,True,True,-15.115265198026934
correlated_roughness-s01,straight,64,True,True,True,-15.065088587719735
correlated_roughness-s01,straight,128,False,True,False,
correlated_roughness-s02,arc_left,32,True,False,True,
correlated_roughness-s02,arc_left,64,False,True,False,
correlated_roughness-s02,arc_left,128,False,False,False,
correlated_roughness-s02,arc_right,32,True,True,True,-10.777263700167877
correlated_roughness-s02,arc_right,64,True,True,True,-10.848428345299409
correlated_roughness-s02,arc_right,128,False,True,False,
correlated_roughness-s02,barrier,32,False,False,False,
correlated_roughness-s02,barrier,64,False,False,False,
correlated_roughness-s02,barrier,128,False,False,False,
correlated_roughness-s02,fast_marching,32,True,True,True,-0.171080575252451
correlated_roughness-s02,fast_marching,64,True,True,True,-0.01568966672630092
correlated_roughness-s02,fast_marching,128,False,True,False,
correlated_roughness-s02,straight,32,True,False,True,
correlated_roughness-s02,straight,64,True,False,True,
correlated_roughness-s02,straight,128,False,False,False,
correlated_roughness-s03,arc_left,32,True,True,True,-0.0022994374027501758
correlated_roughness-s03,arc_left,64,True,True,True,-0.00048240947202510525
correlated_roughness-s03,arc_left,128,False,True,False,
correlated_roughness-s03,arc_right,32,True,False,True,
correlated_roughness-s03,arc_right,64,True,False,True,
correlated_roughness-s03,arc_right,128,False,True,False,
correlated_roughness-s03,barrier,32,True,True,True,-14.386316455914514
correlated_roughness-s03,barrier,64,True,False,True,
correlated_roughness-s03,barrier,128,False,False,False,
correlated_roughness-s03,fast_marching,32,True,True,True,-0.0022994483589367024
correlated_roughness-s03,fast_marching,64,True,True,True,-0.0004824186123365363
correlated_roughness-s03,fast_marching,128,False,True,False,
correlated_roughness-s03,straight,32,True,True,True,-14.386316425669218
correlated_roughness-s03,straight,64,True,False,True,
correlated_roughness-s03,straight,128,False,False,False,
correlated_roughness-s04,arc_left,32,True,True,True,-21.340519380427722
correlated_roughness-s04,arc_left,64,True,True,True,-21.159417076472224
correlated_roughness-s04,arc_left,128,False,True,False,
correlated_roughness-s04,arc_right,32,False,False,False,
correlated_roughness-s04,arc_right,64,False,False,False,
correlated_roughness-s04,arc_right,128,False,False,False,
correlated_roughness-s04,barrier,32,False,True,False,
correlated_roughness-s04,barrier,64,False,True,False,
correlated_roughness-s04,barrier,128,False,True,False,
correlated_roughness-s04,fast_marching,32,True,True,True,0.0035752648531354177
correlated_roughness-s04,fast_marching,64,True,True,True,0.0009911798777717641
correlated_roughness-s04,fast_marching,128,False,True,False,
correlated_roughness-s04,straight,32,True,False,True,
correlated_roughness-s04,straight,64,True,False,True,
correlated_roughness-s04,straight,128,False,False,False,
correlated_roughness-s05,arc_left,32,True,True,True,-23.011104967101346
correlated_roughness-s05,arc_left,64,True,True,True,-22.522413970447847
correlated_roughness-s05,arc_left,128,False,True,False,
correlated_roughness-s05,arc_right,32,True,False,True,
correlated_roughness-s05,arc_right,64,False,False,False,
correlated_roughness-s05,arc_right,128,False,False,False,
